"id","option_group","option_name","created_at","updated_at"
"1","student_status","Aktif","2021-03-24 06:57:46","2021-03-24 06:57:46"
"2","student_status","Lulus","2021-03-24 06:57:46","2021-03-24 06:57:46"
"3","student_status","Mutasi","2021-03-24 06:57:46","2021-03-24 06:57:46"
"4","student_status","Dikeluarkan","2021-03-24 06:57:46","2021-03-24 06:57:46"
"5","student_status","Mengundurkan Diri","2021-03-24 06:57:46","2021-03-24 06:57:46"
"6","student_status","Putus Sekolah","2021-03-24 06:57:46","2021-03-24 06:57:46"
"7","student_status","Meninggal","2021-03-24 06:57:46","2021-03-24 06:57:46"
"8","student_status","Hilang","2021-03-24 06:57:46","2021-03-24 06:57:46"
"9","student_status","Lainnya","2021-03-24 06:57:46","2021-03-24 06:57:46"
"10","employments","Tidak bekerja","2021-03-24 06:57:46","2021-03-24 06:57:46"
"11","employments","Nelayan","2021-03-24 06:57:46","2021-03-24 06:57:46"
"12","employments","Petani","2021-03-24 06:57:46","2021-03-24 06:57:46"
"13","employments","Peternak","2021-03-24 06:57:46","2021-03-24 06:57:46"
"14","employments","PNS/TNI/POLRI","2021-03-24 06:57:46","2021-03-24 06:57:46"
"15","employments","Karyawan Swasta","2021-03-24 06:57:46","2021-03-24 06:57:46"
"16","employments","Pedagang Kecil","2021-03-24 06:57:46","2021-03-24 06:57:46"
"17","employments","Pedagang Besar","2021-03-24 06:57:46","2021-03-24 06:57:46"
"18","employments","Wiraswasta","2021-03-24 06:57:46","2021-03-24 06:57:46"
"19","employments","Wirausaha","2021-03-24 06:57:46","2021-03-24 06:57:46"
"20","employments","Buruh","2021-03-24 06:57:46","2021-03-24 06:57:46"
"21","employments","Pensiunan","2021-03-24 06:57:46","2021-03-24 06:57:46"
"22","employments","Lain-lain","2021-03-24 06:57:46","2021-03-24 06:57:46"
"23","special_needs","Tidak","2021-03-24 06:57:46","2021-03-24 06:57:46"
"24","special_needs","Tuna Netra","2021-03-24 06:57:46","2021-03-24 06:57:46"
"25","special_needs","Tuna Rungu","2021-03-24 06:57:46","2021-03-24 06:57:46"
"26","special_needs","Tuna Grahita ringan","2021-03-24 06:57:46","2021-03-24 06:57:46"
"27","special_needs","Tuna Grahita Sedang","2021-03-24 06:57:46","2021-03-24 06:57:46"
