id,setting_group,key,settings_name,setting_value,setting_default_value,setting_access_group,setting_description,modal_type,created_at,updated_at
1,general,site_maintenance,Pemeliharaan Situs,0,1,public,Pemeliharaan situs,select,2021-03-24 6:57:46,2024-07-15 11:49:16
2,general,site_maintenance_end_date,Tanggal Pemeliharaan,2024-07-15,2021-01-01,public,Tanggal Berakhir Pemeliharaan Situs,date,2021-03-24 6:57:46,2024-07-15 11:49:29
3,general,site_cache,Cache Situs,0,0,general,Cache Situs,select,2024-07-17 20:58:52,2024-07-26 14:33:39
4,general,site_cache_time,Lama Cache,1,10,public,Lama Cache Situs (Menit),input,2021-03-24 6:57:46,2024-07-22 23:05:46
5,general,meta_description,Deskripsi Meta,CMS untuk website pendidikan,CMS untuk website pendidikan,public,Deskripsi Meta,input,2021-03-24 6:57:46,2024-07-27 12:08:31
6,general,meta_keywords,Keywords Meta,"website sekolah, web sd, web smp, web sma, cms sekolah, cms pendidikan, sim sekolah, sistem website, aplikasi pendidikan, aplikasi web","website sekolah, web sd, web smp, web sma, cms sekolah, cms pendidikan, sim sekolah, sistem website, aplikasi pendidikan, aplikasi web",public,Kata Kunci Meta,textarea,2021-03-24 6:57:46,2024-07-27 12:09:20
7,general,map_location,Lokasi,"<iframe src=""https://www.google.com/maps/embed?pb=!1m17!1m12!1m3!1d988.1675737035924!2d110.13542818156826!3d-7.8246781010596775!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m2!1m1!2s!5e0!3m2!1sid!2sid!4v1720660578376!5m2!1sid!2sid"" width=""700"" height=""200"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",NULL,public,Lokasi di Google Maps,textarea,2021-03-24 6:57:46,2024-07-11 8:16:26
8,general,favicon,Favicon,1722131466_66a5a40acd5fc.png,favicon.png,public,Favicon,upload,2021-03-24 6:57:46,2024-07-28 8:51:06
9,general,header,Logo,1721812724_66a0c6f4e35be.png,header.png,public,Gambar Header,upload,2021-03-24 6:57:46,2024-07-24 16:18:44
10,discussion,disqus_api_key,Disqus Api Key,idPFu8dAb5xne3ypYhivPsn0m4yIWD2n1YaL1LAVZQLDYaXtwz4yxiNSdMSsmekt,idPFu8dAb5xne3ypYhivPsn0m4yIWD2n1YaL1LAVZQLDYaXtwz4yxiNSdMSsmekt,public,Disqus Api Key,input,2021-03-24 6:57:46,2021-03-24 6:57:46
